Macro taxonomy,Category,Subcategory,Tool/Product name,Company/Vendor,Model basis/stack,Deployment/Access,Primary use case(s),Short factual description,Notes/limitations,Confidence,Primary sources (prioritized)
Create,Coding & software engineering,Coding assistant,GitHub Copilot,GitHub,"Uses multiple model providers (OpenAI/Anthropic/Google) depending on configuration and policy",IDE plugin + GitHub UI (chat PRs etc.),Code completion chat assistance and code review support,GitHub Copilot provides AI assistance across developer workflows (inline completion and chat) and can support multiple models depending on admin settings.,Model availability changes over time; enterprises must manage policies around model access and data retention.,Medium,https://www.itpro.com/software/development/github-copilot-ai-model-deprecation-openai-anthropic-google
Understand,Research & science,Literature review assistant,Elicit,Elicit,LLM-based research assistant; model basis not stated on landing page,SaaS (web),Search summarize and extract evidence from scientific papers,Elicit supports searching and synthesizing scientific literature including summarization and data extraction from papers.,Model stack not disclosed; paper coverage and full-text access vary.,High,https://elicit.com/
Understand,Research & science,Academic search engine,Consensus,Consensus,Language-model-powered research synthesis; platform built on OpenAI GPT‑5 and Responses API for certain capabilities,SaaS (web),Find and synthesize peer-reviewed evidence with citations,Consensus is an AI academic search engine that uses language models to synthesize research and provide cited answers.,"Specific capabilities like multi-agent systems depend on feature set; licensing with publishers varies.",High,https://openai.com/index/consensus/ | https://consensus.app/home/blog/welcome-to-consensus/
Create,Research & science,AI-native writing workspace,Prism,OpenAI,Powered by GPT‑5.2 per OpenAI announcement,SaaS (workspace inside ChatGPT account ecosystem),Research writing and collaboration with AI assistance,OpenAI introduced Prism as an AI-native workspace for scientists to write and collaborate powered by GPT‑5.2.,Rollout may vary by ChatGPT plan; intended for scientific collaboration workflows.,High,https://openai.com/index/introducing-prism/
Understand,Research & science,AI research agent suite,SciSpace AI Research Agent,SciSpace,LLM-based copilot/agent over papers; model basis not specified on landing page,SaaS (web) + browser extensions + mobile,"Search and analyze papers; draft manuscripts and reviews",SciSpace positions itself as an AI research agent connecting tools to search and analyze a large corpus of papers.,Model stack not disclosed; verify citation quality and source access constraints.,Medium,https://scispace.com/
Act,Workflow automation / agentic assistants,Open-source agent framework,LangChain,LangChain (open source),Framework (model-provider agnostic) for building LLM-powered agents and RAG apps,Open-source library (Python/JS) + optional platform services,Build agentic apps and RAG pipelines in code,LangChain is an open-source framework and platform ecosystem for building LLM-powered applications and agents.,Not an end-user app; developer tool/platform; requires model provider.,High,https://github.com/langchain-ai/langchain
Act,Workflow automation / agentic assistants,Open-source data/RAG framework,LlamaIndex,LlamaIndex (open source),Framework to build document agents and data-augmented LLM apps,Open-source library + optional hosted services,Build RAG/agentic apps over your data,LlamaIndex provides an open-source framework for building agentic applications over data with optional hosted components.,Developer-focused; exact capabilities depend on chosen LLM/vector store.,High,https://github.com/run-llama/llama_index
Act,Workflow automation / agentic assistants,Open-source orchestration framework,Haystack,deepset (open source),Python framework for LLM apps RAG and agent workflows,Open-source library,Build production-ready RAG and agent pipelines,Haystack is an open-source framework for building LLM-powered applications including agents and RAG systems.,Developer tool; requires infrastructure and model selection.,High,https://github.com/deepset-ai/haystack | https://docs.haystack.deepset.ai/docs/intro
Act,LLM runtimes,Local model runner,Ollama,Ollama,Local runtime for running open models; supports APIs and integrations,Local app (macOS/Linux/Windows) + local API,Run LLMs locally for privacy and offline workflows,Ollama provides a local runtime and tooling for running open models on user hardware exposing an API for apps and agents.,Not strictly an end-user assistant unless paired with a UI; security requires network hardening to avoid exposed servers.,High,https://github.com/ollama/ollama | https://ollama.com/
Communicate,LLM UIs,Local chat UI,Open WebUI,Open WebUI (open source),Web UI for local/remote LLM backends (e.g. Ollama) with tools/function calling support,Open-source web app (self-hosted),Provide a user-facing chat UI for local/hosted models,Open WebUI is an open-source user interface for interacting with LLMs commonly used with local runners like Ollama.,Requires self-hosting and backend; security and access control is on the operator.,High,https://github.com/open-webui/open-webui
Create,Writing,Workspace writing assistant,Notion AI,Notion,"Uses multiple LLM providers (e.g., OpenAI, Anthropic) per vendor disclosures",SaaS (Notion web/desktop/mobile),"Draft, rewrite, summarize, and query workspace content",Notion AI provides writing and knowledge assistance embedded in Notion docs and workspace workflows.,Model providers can change; enterprise data permissions apply.,High,https://www.notion.so/product/ai
Create,Writing,Writing assistant & rewrite,Grammarly,Grammarly,LLM-based writing assistance (GrammarlyGO / assistant); model stack not fully disclosed publicly,Browser/desktop/mobile apps + integrations,"Rewrite, improve tone/clarity, generate drafts",Grammarly provides AI-assisted writing help from drafting to rewrites and tone suggestions across apps.,Some capabilities require paid tiers; model basis not fully specified on landing pages.,Medium,https://www.grammarly.com/
Create,Design,Template-based gen design suite,Canva Magic Studio,Canva,"LLM + generative media models across features; exact model mapping varies and includes partners",SaaS (web/mobile) + integrations,"Generate design assets, copy, and creative variants",Canva offers Magic Studio features that apply generative AI to design creation editing and writing workflows inside Canva.,Underlying model vendors vary by feature; verify commercial-use and brand controls for enterprise.,Medium,https://www.canva.com/magic/
Create,Audio,Text-to-speech / voice cloning,ElevenLabs,ElevenLabs,Proprietary speech generation models (transformer-based TTS likely; architecture not always disclosed),SaaS + API,Generate voiceovers and synthetic speech,ElevenLabs offers AI voice generation for text-to-speech and voice workflows.,Model architecture details may be limited; voice cloning has policy and consent requirements.,Medium,https://elevenlabs.io/
Create,Audio,Text-to-music generation,Suno,Suno,Proprietary generative music model (architecture not disclosed on main site),SaaS (web/mobile),Generate songs from prompts,Suno provides a consumer-facing interface to generate music from text prompts.,"Model stack not disclosed; rights, attribution, and commercial use depend on plan and policies.",Medium,https://suno.com/
Act,Security & IT operations,AI threat alert summarization,Box Shield AI Threat Analysis,Box,AI-generated plain-language summaries in threat alerts (LLM-based),SaaS (Box Shield Pro),Summarize security threat alerts for faster triage,Box Shield Pro includes AI Threat Analysis to generate plain-language summaries within Box threat alerts.,Feature depends on Shield Pro availability; summaries should be validated by analysts.,High,https://support.box.com/hc/en-us/articles/48452873935763-AI-Threat-Analysis-released-to-Box-Shield-Pro-Jan-2026
Understand,Search/RAG,SharePoint site/document agent,SharePoint agents,Microsoft,Microsoft 365 Copilot agents (LLM-based) over SharePoint content,SaaS (SharePoint),Ask questions and summarize documents across a SharePoint site/library,Microsoft documents SharePoint agents as a way to query and summarize site and document content via an agent interface.,Requires appropriate licensing and permissions; outputs should be verified for critical decisions.,High,https://support.microsoft.com/en-us/office/interact-with-sharepoint-agents-bda7dd7a-2498-49de-acd7-a830d6d9fb24
Communicate,General AI assistant,Team/enterprise chat assistant,Claude,Anthropic,"Claude model family (e.g., Sonnet series) + tool use; exact Tier varies by plan",SaaS (claude.com web); API; enterprise plans,"General assistant for writing, analysis, and work tasks",Anthropic’s Claude is a conversational AI assistant offered via web and enterprise plans marketed for professional work and coding/agents.,"Plan features (memory, limits) vary; model selection may change over time.",High,https://www.anthropic.com/ | https://claude.com/pricing
Communicate,General AI assistant,Consumer AI assistant,Gemini,Google,"Gemini model family; multimodal; includes Deep Research and media generation depending on plan",SaaS (web/mobile),General AI assistant with integration across Google products,Gemini is Google’s AI assistant providing writing planning and multimodal help with plan-based access to advanced capabilities like video generation.,Features vary by region and subscription.,High,https://gemini.google.com/ | https://apps.apple.com/us/app/google-gemini/id6477489729
Act,Operating system copilots,On-device AI assistant,Copilot on Windows,Microsoft,Copilot stack integrated into Windows experiences,OS feature (Windows devices) + SaaS,"Summarize, create, and analyze content in OS context",Microsoft positions Copilot on Windows as a built-in AI companion to help users find create summarize and analyze content.,Feature set depends on device class (e.g. Copilot+ PCs) and region; privacy settings apply.,Medium,https://www.microsoft.com/en-us/windows/learning-center/best-ai-pc-features-to-look-for-in-2026-a-beginners-guide
